uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C001,Utilities,Global,2033,Medium Risk,22392707,234120,49.894473684210425,1117272330.13,11681294.18,11681294.18
C001,Utilities,Global,2033,High Risk,22392707,234120,85.33289473684272,1910834509.3,19978137.32,19978137.32
C001,Utilities,Global,2034,Low Risk,22369296,234110,36.86789473684212,824708850.27,8631142.84,8631142.84
C001,Utilities,Global,2034,Medium Risk,22369296,234110,51.9652631578947,1162426353.3,12165587.76,12165587.76
C001,Utilities,Global,2034,High Risk,22369296,234110,92.10105263157857,2060235708.23,21561777.43,21561777.43
C001,Utilities,Global,2035,Low Risk,22345884,234120,37.44657894736838,836776909.35,8766993.06,8766993.06
C001,Utilities,Global,2035,Medium Risk,22345884,234120,54.03605263157897,1207483363.92,12650920.64,12650920.64
C001,Utilities,Global,2035,High Risk,22345884,234120,98.86921052631624,2209319909.59,23147259.57,23147259.57
C001,Utilities,Global,2036,Low Risk,22322472,234120,38.02526315789464,848817872.13,8902474.61,8902474.61
C001,Utilities,Global,2036,Medium Risk,22322472,234120,56.10684210526324,1252443411.9,13135733.87,13135733.87
C001,Utilities,Global,2036,High Risk,22322472,234120,105.63736842105209,2358087198.73,24731820.69,24731820.69
C001,Utilities,Global,2037,Low Risk,22299061,234110,38.603947368420904,860831777.21,9037570.12,9037570.12
C001,Utilities,Global,2037,Medium Risk,22299061,234110,58.17763157894751,1297306555.41,13619965.33,13619965.33
C001,Utilities,Global,2037,High Risk,22299061,234110,112.40552631578976,2506537688.05,26315257.77,26315257.77
C001,Utilities,Global,2038,Low Risk,22275649,234120,39.182631578947394,872818547.95,9173437.71,9173437.71
C001,Utilities,Global,2038,Medium Risk,22275649,234120,60.248421052631784,1342072680.17,14105360.34,14105360.34
C001,Utilities,Global,2038,High Risk,22275649,234120,119.17368421052743,2654671159.51,27900942.95,27900942.95
C001,Utilities,Global,2039,Low Risk,22252238,234110,39.761315789473656,884778262.14,9308521.64,9308521.64
C001,Utilities,Global,2039,Medium Risk,22252238,234110,62.319210526316056,1386741904.6,14589550.38,14589550.38
C001,Utilities,Global,2039,High Risk,22252238,234110,125.94184210526328,2802487844.68,29484244.66,29484244.66
C001,Utilities,Global,2040,Low Risk,22228826,234120,40.33999999999992,896710840.84,9444400.8,9444400.8
C001,Utilities,Global,2040,Medium Risk,22228826,234120,64.39000000000033,1431314106.14,15074986.8,15074986.8
C001,Utilities,Global,2040,High Risk,22228826,234120,132.71000000000095,2949987498.46,31070065.2,31070065.2
C001,Utilities,Global,2041,Low Risk,22205414,234120,40.91868421052618,908616323.23,9579882.35,9579882.35
C001,Utilities,Global,2041,Medium Risk,22205414,234120,66.46078947368369,1475789345.03,15559800.03,15559800.03
C001,Utilities,Global,2041,High Risk,22205414,234120,139.4781578947368,3097170240.01,32654626.33,32654626.33
C001,Utilities,Global,2042,Low Risk,22182003,234110,41.49736842105267,920494750.81,9714948.92,9714948.92
C001,Utilities,Global,2042,Medium Risk,22182003,234110,68.53157894736796,1520167689.81,16043927.95,16043927.95
C001,Utilities,Global,2042,High Risk,22182003,234110,146.24631578947447,3244036215.58,34237724.99,34237724.99
C001,Utilities,Global,2043,Low Risk,22158591,234120,42.07605263157893,932346041.16,9850845.44,9850845.44
C001,Utilities,Global,2043,Medium Risk,22158591,234120,70.60236842105223,1564449005.47,16529426.49,16529426.49
C001,Utilities,Global,2043,High Risk,22158591,234120,153.01447368421032,3390585139.45,35823748.58,35823748.58
C001,Utilities,Global,2044,Low Risk,22135180,234110,42.654736842105194,944170277.85,9985900.44,9985900.44
C001,Utilities,Global,2044,Medium Risk,22135180,234110,72.6731578947365,1608633431.17,17013512.99,17013512.99
C001,Utilities,Global,2044,High Risk,22135180,234110,159.78263157894798,3536817310.87,37406711.88,37406711.88
C001,Utilities,Global,2045,Low Risk,22111768,234120,43.233421052631456,955967376.16,10121808.54,10121808.54
C001,Utilities,Global,2045,Medium Risk,22111768,234120,74.74394736842078,1652720823.61,17499052.96,17499052.96
C001,Utilities,Global,2045,High Risk,22111768,234120,166.55078947368384,3682732417.06,38992870.83,38992870.83
C001,Utilities,Global,2046,Low Risk,22088356,234120,43.812105263157946,967737378.16,10257290.08,10257290.08
C001,Utilities,Global,2046,Medium Risk,22088356,234120,76.81473684210505,1696711253.41,17983866.19,17983866.19
C001,Utilities,Global,2046,High Risk,22088356,234120,173.3189473684215,3828330611.02,40577431.96,40577431.96
C001,Utilities,Global,2047,Low Risk,22064945,234110,44.39078947368421,979480328.24,10392327.72,10392327.72
C001,Utilities,Global,2047,Medium Risk,22064945,234110,78.88552631578932,1740604799.45,18467890.57,18467890.57
C001,Utilities,Global,2047,High Risk,22064945,234110,180.08710526315735,3973612072.84,42160192.21,42160192.21
C001,Utilities,Global,2048,Low Risk,22041533,234120,44.96947368421047,991196138.2,10528253.18,10528253.18
C001,Utilities,Global,2048,Medium Risk,22041533,234120,80.95631578947359,1784401306.03,18953492.65,18953492.65
